w,e
8.7590908,0.3372255
8.7295989,0.3382291
8.7003049,0.3394204
8.6712069,0.3406511
8.6423029,0.3417757
8.6135909,0.3427296
8.585069,0.343557
8.5567354,0.344373
8.5285883,0.3452886
8.5006256,0.3463393
8.4728458,0.3474649
8.4452469,0.348543
8.4178273,0.349461
8.3905851,0.350181
8.3635187,0.3507607
8.3366263,0.3513232
8.3099063,0.3519899
8.2833571,0.352816
8.2569769,0.3537653
8.2307643,0.3547332
8.2047175,0.3556103
8.1788351,0.3563425
8.1531155,0.3569558
8.1275571,0.3575303
8.1021585,0.3581423
8.0769181,0.3588107
8.0518345,0.3594809
8.0269062,0.3600556
8.0021318,0.36045
7.9775098,0.3606422
7.9530389,0.3606877
7.9287177,0.3606936
7.9045447,0.3607687
7.8805187,0.3609733
7.8566383,0.3612975
7.8329023,0.3616772
7.8093092,0.3620372
7.7858578,0.3623365
7.7625468,0.3625888
7.739375,0.3628501
7.7163411,0.3631824
7.693444,0.3636123
7.6706823,0.3641146
7.6480549,0.3646254
7.6255606,0.3650808
7.6031982,0.3654557
7.5809666,0.3657812
7.5588647,0.3661296
7.5368912,0.3665754
7.5150451,0.3671534
7.4933253,0.3678392
7.4717307,0.368562
7.4502602,0.3692447
7.4289127,0.3698442
7.4076873,0.370374
7.3865827,0.3708915
7.3655981,0.3714639
7.3447324,0.3721268
7.3239845,0.3728631
7.3033536,0.3736125
7.2828385,0.3743061
7.2624384,0.374908
7.2421522,0.3754361
7.2219791,0.3759535
7.201918,0.3765342
7.1819681,0.3772203
7.1621284,0.3779988
7.142398,0.3788094
7.122776,0.379582
7.1032615,0.3802783
7.0838537,0.380915
7.0645516,0.3815538
7.0453545,0.3822663
7.0262614,0.3830902
7.0072714,0.3840054
6.9883839,0.3849395
6.9695979,0.385804
6.9509127,0.3865356
6.9323273,0.3871223
6.9138411,0.3876022
6.8954532,0.3880405
6.8771629,0.3884966
6.8589693,0.3889988
6.8408717,0.3895375
6.8228694,0.390083
6.8049616,0.3906115
6.7871476,0.3911226
6.7694266,0.3916337
6.7517978,0.3921575
6.7342607,0.3926803
6.7168144,0.3931532
6.6994583,0.3935052
6.6821916,0.3936718
6.6650137,0.3936333
6.647924,0.3934397
6.6309216,0.3932074
6.614006,0.3930787
6.5971764,0.393161
6.5804323,0.3934824
6.563773,0.3939922
6.5471978,0.3946041
6.5307061,0.3952523
6.5142973,0.3959242
6.4979707,0.396659
6.4817257,0.3975166
6.4655618,0.3985367
6.4494783,0.3997121
6.4334747,0.4009941
6.4175502,0.4023218
6.4017044,0.4036588
6.3859366,0.4050046
6.3702464,0.4063797
6.354633,0.4077927
6.339096,0.4092169
6.3236348,0.4105887
6.3082488,0.4118276
6.2929375,0.412864
6.2777004,0.4136617
6.2625368,0.4142274
6.2474464,0.414605
6.2324284,0.4148579
6.2174826,0.4150465
6.2026082,0.4152096
6.1878048,0.4153584
6.1730719,0.4154858
6.1584091,0.4155877
6.1438157,0.4156813
6.1292913,0.4158089
6.1148354,0.4160273
6.1004475,0.4163841
6.0861272,0.4168953
6.071874,0.4175378
6.0576874,0.418261
6.0435669,0.4190128
6.029512,0.4197611
6.0155225,0.4204984
6.0015976,0.4212291
5.9877371,0.421951
5.9739405,0.4226473
5.9602073,0.4232929
5.9465371,0.4238733
5.9329294,0.4244065
5.9193839,0.4249543
5.9059001,0.4256084
5.8924776,0.4264534
5.879116,0.4275231
5.8658148,0.4287821
5.8525737,0.4301372
5.8393922,0.4314779
5.82627,0.4327186
5.8132066,0.4338203
5.8002016,0.4347904
5.7872547,0.4356672
